weapon_used	weapon_result	charge	location_major_comm	location_comm	date_of_occurrence	time_of_occurrance	disposition	status	towncode	day_occur	armedrob	burglary	aggassault	simpleassault	sexual	domestic_phys	domestic_verbal	land	land_violent	mob	riot	murder	other	year	month
"NIL"	"NIL"	"PROPERTY THEFT"	"BUSHROD ISLAND"	"DUALA COMMUNITY"	"8/30/2017"	"09:00 AM - 12:00 PM"	"COURT"	"COMPLETED"	1014	"2017-08-30"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	8
"NIL"	"NIL"	"ROBBERY"	"PAYNESVILLE"	"JOE BAR COMMUNITY"	"8/21/2017"	"09:00 AM - 12:00 PM"	"COURT"	"COMPLETED"	5000	"2017-08-21"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	8
"NIL"	"NIL"	"ROBBERY"	"PAYNESVILLE"	"GSA ROAD COMMUNITY"	"8/12/2017"	"09:00 AM - 12:00 PM"	"COURT"	"COMPLETED"	5002	"2017-08-12"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	8
"NIL"	"NIL"	"MISAPPLICATION OF ENTRUSTED PROPERTY"	"PAYNESVILLE"	"GSA ROAD COMMUNITY"	"8/15/2017"	"09:00 AM - 12:00 PM"	"COURT"	"COMPLETED"	5002	"2017-08-15"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	8
"NIL"	"NIL"	"ROBBERY"	"PAYNESVILLE"	"PEACE ISLAND COMMUNITY"	"7/13/2017"	"06:00 AM - 09:00 AM"	"COURT"	"COMPLETED"	9029	"2017-07-13"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	7
"NIL"	"NIL"	"BURGLARY"	"PAYNESVILLE"	"72ND COMMUNITY"	"8/19/2017"	"06:00 AM - 09:00 AM"	"WITHDRAWN"	"COMPLETED"	9012	"2017-08-19"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	8
"NIL"	"NIL"	"AGGRAVATED ASSAULT"	"BUSHROD ISLAND"	"POINT FOUR COMMUNITY"	"8/28/2017"	"09:00 PM - 00:00 AM"	"COURT"	"COMPLETED"	1001	"2017-08-28"	0	0	1	0	0	0	0	0	0	0	0	0	0	2017	8
"NIL"	"NIL"	"AGGRAVATED ASSAULT"	"BUSHROD ISLAND"	"POINT FOUR COMMUNITY"	"8/29/2017"	"09:00 PM - 00:00 AM"	"COURT"	"COMPLETED"	1001	"2017-08-29"	0	0	1	0	0	0	0	0	0	0	0	0	0	2017	8
"NIL"	"NIL"	"AGGRAVATED ASSAULT"	"BUSHROD ISLAND"	"POINT FOUR COMMUNITY"	"8/29/2017"	"06:00 AM - 09:00 AM"	"COURT"	"COMPLETED"	1001	"2017-08-29"	0	0	1	0	0	0	0	0	0	0	0	0	0	2017	8
"NIL"	"NIL"	"MENACING"	"BUSHROD ISLAND"	"POINT FOUR COMMUNITY"	"8/30/2017"	"12:00 PM - 03:00 PM"	"COURT"	"COMPLETED"	1001	"2017-08-30"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	8
"NIL"	"NIL"	"AGGRAVATED ASSAULT"	"BUSHROD ISLAND"	"POINT FOUR COMMUNITY"	"8/31/2017"	"12:00 PM - 03:00 PM"	"PENDING"	"COMPLETED"	1001	"2017-08-31"	0	0	1	0	0	0	0	0	0	0	0	0	0	2017	8
"NIL"	"NIL"	"AGGRAVATED ASSAULT"	"BUSHROD ISLAND"	"POINT FOUR COMMUNITY"	"9/1/2017"	"03:00 PM - 06:00 PM"	"WITHDRAWN"	"COMPLETED"	1001	"2017-09-01"	0	0	1	0	0	0	0	0	0	0	0	0	0	2017	9
"NIL"	"NIL"	"AGGRAVATED ASSAULT"	"BUSHROD ISLAND"	"POINT FOUR COMMUNITY"	"9/17/2017"	"12:00 PM - 03:00 PM"	"WITHDRAWN"	"COMPLETED"	1001	"2017-09-17"	0	0	1	0	0	0	0	0	0	0	0	0	0	2017	9
"NIL"	"NIL"	"SIMPLE ASSAULT"	"CENTRAL MONROVIA"	"MECHLIN STREET COMMUNITY"	"9/3/2017"	"03:00 PM - 06:00 PM"	"COURT"	"COMPLETED"	2005	"2017-09-03"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	9
"NIL"	"NIL"	"SIMPLE ASSAULT"	"CENTRAL MONROVIA"	"MECHLIN STREET COMMUNITY"	"9/4/2017"	"09:00 AM - 12:00 PM"	"COURT"	"COMPLETED"	2005	"2017-09-04"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	9
"NIL"	"NIL"	"DISORDERLY CONDUCT"	"BUSHROD ISLAND"	"PEACE LAND COMMUNITY"	"8/17/2017"	"12:00 PM - 03:00 PM"	"WITHDRAWN"	"COMPLETED"	7011	"2017-08-17"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	8
"NIL"	"NIL"	"PROPERTY THEFT"	"BUSHROD ISLAND"	"FAITH COMMUNITY"	"8/31/2017"	"03:00 PM - 06:00 PM"	"WITHDRAWN"	"COMPLETED"	7005	"2017-08-31"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	8
"NIL"	"NIL"	"SIMPLE ASSAULT"	"PAYNESVILLE"	"ELWA COMMUNITY"	"8/20/2017"	"03:00 PM - 06:00 PM"	"WITHDRAWN"	"COMPLETED"	8005	"2017-08-20"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	8
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"ROCK HILL COMMUNITY"	"8/24/2017"	"03:00 PM - 06:00 PM"	"WITHDRAWN"	"COMPLETED"	2014	"2017-08-24"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	8
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"ELWA COMMUNITY"	"8/29/2017"	"NIL"	"COURT"	"COMPLETED"	8005	"2017-08-29"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	8
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"ELWA COMMUNITY"	"9/4/2017"	"06:00 AM - 09:00 AM"	"PENDING"	"COMPLETED"	8005	"2017-09-04"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"ELWA COMMUNITY"	"9/15/2017"	"NIL"	"PENDING"	"COMPLETED"	8005	"2017-09-15"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"CRIMINAL  MISCHIEF"	"PAYNESVILLE"	"PEACE ISLAND COMMUNITY"	"9/1/2017"	"09:00 AM - 12:00 PM"	"WITHDRAWN"	"COMPLETED"	3000	"2017-09-01"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"PROPERTY THEFT"	"SINKOR"	"TARRR TOWN COMMUNITY"	"9/20/2017"	"06:00 AM - 09:00 AM"	"WITHDRAWN"	"COMPLETED"	3005	"2017-09-20"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"SIMPLE ASSAULT"	"PAYNESVILLE"	"PEACE ISLAND COMMUNITY"	"9/3/2017"	"03:00 PM - 06:00 PM"	"COURT"	"COMPLETED"	3000	"2017-09-03"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	9
"NIL"	"NIL"	"CRIMINAL  MISCHIEF"	"PAYNESVILLE"	"PEACE ISLAND COMMUNITY"	"9/3/2017"	"09:00 AM - 12:00 PM"	"COURT"	"COMPLETED"	3000	"2017-09-03"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"MENACING"	"PAYNESVILLE"	"PEACE ISLAND COMMUNITY"	"9/3/2017"	"09:00 AM - 12:00 PM"	"COURT"	"COMPLETED"	3000	"2017-09-03"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"BURGLARY"	"BUSHROD ISLAND"	"VAI TOWN COMMUNITY"	"8/7/2017"	"03:00 PM - 06:00 PM"	"PENDING"	"COMPLETED"	3021	"2017-08-07"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	8
"NIL"	"NIL"	"SEXUAL ABUSE OF WARD"	"BUSHROD ISLAND"	"VAI TOWN COMMUNITY"	"8/26/2017"	"09:00 PM - 00:00 AM"	"PENDING"	"COMPLETED"	3021	"2017-08-26"	0	0	0	0	1	0	0	0	0	0	0	0	0	2017	8
"NIL"	"NIL"	"SIMPLE ASSAULT"	"PAYNESVILLE"	"JOEBAH COMMUNITY"	"8/19/2017"	"03:00 PM - 06:00 PM"	"WITHDRAWN"	"COMPLETED"	5000	"2017-08-19"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	8
"NIL"	"NIL"	"PROPERTY THEFT"	"SINKOR"	"GAYE TOWN COMMUNITY"	"9/15/2017"	"06:00 AM - 09:00 AM"	"PENDING"	"COMPLETED"	3012	"2017-09-15"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"MENACING"	"SINKOR"	"GAYE TOWN COMMUNITY"	"9/14/2017"	"09:00 PM - 00:00 AM"	"WITHDRAWN"	"COMPLETED"	3012	"2017-09-14"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"PROPERTY THEFT"	"SINKOR"	"11TH STREET COMMUNITY"	"9/11/2017"	"06:00 AM - 09:00 AM"	"WITHDRAWN"	"COMPLETED"	2027	"2017-09-11"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"ROBBERY"	"PAYNESVILLE"	"72ND COMMUNITY"	"8/27/2017"	"09:00 AM - 12:00 PM"	"COURT"	"COMPLETED"	9012	"2017-08-27"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	8
"NIL"	"NIL"	"BURGLARY"	"PAYNESVILLE"	"72ND COMMUNITY"	"8/27/2017"	"09:00 AM - 12:00 PM"	"WITHDRAWN"	"COMPLETED"	9012	"2017-08-27"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	8
"NIL"	"NIL"	"MISAPPLICATION OF ENTRUSTED PROPERTY"	"PAYNESVILLE"	"NEE ZOE COMMUNITY "	"8/31/2017"	"12:00 PM - 03:00 PM"	"WITHDRAWN"	"COMPLETED"	9018	"2017-08-31"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	8
"NIL"	"NIL"	"SIMPLE ASSAULT"	"PAYNESVILLE"	"PEACE ISLAND COMMUNITY"	"9/1/2017"	"06:00 AM - 09:00 AM"	"WITHDRAWN"	"COMPLETED"	9029	"2017-09-01"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	9
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"NEEZOE COMMUNITY "	"9/2/2017"	"06:00 PM - 09:00 PM"	"WITHDRAWN"	"COMPLETED"	9018	"2017-09-02"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"SIMPLE ASSAULT"	"PAYNESVILLE"	"72ND COMMUNITY"	"9/8/2017"	"06:00 PM - 09:00 PM"	"WITHDRAWN"	"COMPLETED"	9012	"2017-09-08"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	9
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"72ND COMMUNITY"	"9/5/2017"	"09:00 AM - 12:00 PM"	"WITHDRAWN"	"COMPLETED"	9012	"2017-09-05"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"BURGLARY"	"PAYNESVILLE"	"NEE ZOE COMMUNITY "	"9/9/2017"	"12:00 PM - 03:00 PM"	"COURT"	"COMPLETED"	9018	"2017-09-09"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	9
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"NEW HOPE COMMUNITY"	"9/12/2017"	"09:00 AM - 12:00 PM"	"COURT"	"COMPLETED"	9003	"2017-09-12"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"NEE ZOE COMMUNITY "	"9/18/2017"	"09:00 AM - 12:00 PM"	"WITHDRAWN"	"COMPLETED"	9018	"2017-09-18"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"BURGLARY"	"BUSHROD ISLAND"	"POINT FOUR COMMUNITY"	"9/22/2017"	"12:00 PM - 03:00 PM"	"PENDING"	"COMPLETED"	1001	"2017-09-22"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	9
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"ZUBAH TOWN COMMUNITY"	"9/10/2017"	"06:00 AM - 09:00 AM"	"WITHDRAWN"	"COMPLETED"	5008	"2017-09-10"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"BASSA TOWN COMMUNITY"	"9/4/2017"	"09:00 PM - 00:00 AM"	"COURT"	"COMPLETED"	10020	"2017-09-04"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"MISAPPLICATION OF ENTRUSTED PROPERTY"	"PAYNESVILLE"	"BASSA TOWN COMMUNITY"	"9/7/2017"	"06:00 AM - 09:00 AM"	"WITHDRAWN"	"COMPLETED"	10020	"2017-09-07"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	9
"NIL"	"NIL"	"RAPE"	"CENTRAL MONROVIA"	"BASSA TOWN COMMUNITY"	"9/13/2017"	"06:00 AM - 09:00 AM"	"PENDING"	"COMPLETED"	10020	"2017-09-13"	0	0	0	0	1	0	0	0	0	0	0	0	0	2017	9
"NIL"	"NIL"	"RAPE"	"PAYNESVILLE"	"SKD BOULEVARD COMMUNITY"	"9/14/2017"	"06:00 AM - 09:00 AM"	"PENDING"	"COMPLETED"	3014	"2017-09-14"	0	0	0	0	1	0	0	0	0	0	0	0	0	2017	9
"NIL"	"NIL"	"SIMPLE ASSAULT"	"PAYNESVILLE"	"SOUL CLINIC COMMUNITY"	"9/2/2017"	"03:00 PM - 06:00 PM"	"WITHDRAWN"	"COMPLETED"	5014	"2017-09-02"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	9
"NIL"	"NIL"	"PERSISTENT NON SUPORT"	"BREWERVILLE"	"NEW GEORGIA COMMUNITY"	"9/2/2017"	"09:00 AM - 12:00 PM"	"COURT"	"COMPLETED"	4020	"2017-09-02"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"PROPERTY THEFT"	"BUSHROD ISLAND"	"NEW GEORGIA COMMUNITY"	"9/11/2017"	"03:00 PM - 06:00 PM"	"PENDING"	"COMPLETED"	4020	"2017-09-11"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"PROPERTY THEFT"	"BUSHROD ISLAND"	"CLARA TOWN COMMUNITY"	"9/11/2017"	"09:00 AM - 12:00 PM"	"COURT"	"COMPLETED"	10002	"2017-09-11"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"SIMPLE ASSAULT"	"PAYNESVILLE"	"SOUL CLINIC COMMUNITY"	"9/13/2017"	"12:00 PM - 03:00 PM"	"PENDING"	"COMPLETED"	5014	"2017-09-13"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	9
"NIL"	"NIL"	"PERSISTENT NON SUPORT"	"PAYNESVILLE"	"THINKERVILLAGE COMMUNITY"	"9/16/2017"	"09:00 AM - 12:00 PM"	"WITHDRAWN"	"COMPLETED"	8013	"2017-09-16"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"PERSISTENT NON SUPORT"	"PAYNESVILLE"	"GSA ROAD COMMUNITY"	"9/15/2017"	"03:00 PM - 06:00 PM"	"PENDING"	"COMPLETED"	5002	"2017-09-15"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"RAPE"	"PAYNESVILLE"	"GSA ROAD COMMUNITY"	"9/21/2017"	"03:00 PM - 06:00 PM"	"PENDING"	"COMPLETED"	5002	"2017-09-21"	0	0	0	0	1	0	0	0	0	0	0	0	0	2017	9
"NIL"	"NIL"	"INTERFERING WITH CHILD CUSTODY"	"PAYNESVILLE"	"BASSA TOWN COMMUNITY"	"9/22/2017"	"03:00 PM - 06:00 PM"	"PENDING"	"COMPLETED"	10020	"2017-09-22"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"MENACING"	"PAYNESVILLE"	"GSA ROAD COMMUNITY"	"9/1/2017"	"03:00 PM - 06:00 PM"	"PENDING"	"COMPLETED"	5002	"2017-09-01"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"SIMPLE ASSAULT"	"PAYNESVILLE"	"SOUL CLINIC COMMUNITY"	"9/2/2017"	"03:00 PM - 06:00 PM"	"COURT"	"COMPLETED"	5014	"2017-09-02"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	9
"NIL"	"NIL"	"SIMPLE ASSAULT"	"PAYNESVILLE"	"GSA ROAD COMMUNITY"	"9/3/2017"	"06:00 PM - 09:00 PM"	"WITHDRAWN"	"COMPLETED"	5002	"2017-09-03"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	9
"NIL"	"NIL"	"ENDANGERING CHILD WELFARE"	"PAYNESVILLE"	"GSA ROAD COMMUNITY"	"9/10/2017"	"03:00 PM - 06:00 PM"	"PENDING"	"COMPLETED"	5002	"2017-09-10"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"ENDANGERING CHILD WELFARE"	"PAYNESVILLE"	"GSA ROAD COMMUNITY"	"9/9/2017"	"06:00 AM - 09:00 AM"	"WITHDRAWN"	"COMPLETED"	5002	"2017-09-09"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"PROPERTY THEFT"	"BUSHROD ISLAND"	"JAMAICA ROAD COMMUNITY"	"9/18/2017"	"06:00 AM - 09:00 AM"	"WITHDRAWN"	"COMPLETED"	10020	"2017-09-18"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"BURGLARY"	"SINKOR"	"GAYE TOWN COMMUNITY"	"9/9/2017"	"03:00 PM - 06:00 PM"	"PENDING"	"COMPLETED"	3012	"2017-09-09"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	9
"NIL"	"NIL"	"PROPERTY THEFT"	"CENTRAL MONROVIA"	"PHP COMMUNITY"	"9/26/2017"	"09:00 AM - 12:00 PM"	"PENDING"	"COMPLETED"	2004	"2017-09-26"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"MENACING"	"SINKOR"	"GAYE TOWN COMMUNITY"	"9/14/2017"	"09:00 PM - 00:00 AM"	"PENDING"	"COMPLETED"	3012	"2017-09-14"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"SIMPLE ASSAULT"	"SINKOR"	"TOGBA CAMP COMMUNITY"	"9/17/2017"	"09:00 PM - 00:00 AM"	"PENDING"	"COMPLETED"	3028	"2017-09-17"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	9
"NIL"	"NIL"	"PROPERTY THEFT"	"CENTRAL MONROVIA"	"MECHLIN STREET COMMUNITY"	"10/6/2017"	"03:00 PM - 06:00 PM"	"COURT"	"COMPLETED"	2005	"2017-10-06"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	10
"S"	"NIL"	"CRIMINAL MISCHIEF"	"CENTRAL MONROVIA"	"CAREY STREET COMMUNITY"	"10/1/2017"	"03:00 PM - 06:00 PM"	"WITHDRAWN"	"COMPLETED"	2010	"2017-10-01"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	10
"NIL"	"NIL"	"SIMPLE ASSAULT"	"CENTRAL MONROVIA"	"MECHLIN STREET COMMUNITY"	"9/27/2017"	"06:00 AM - 09:00 AM"	"WITHDRAWN"	"COMPLETED"	2005	"2017-09-27"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	9
"NIL"	"NIL"	"SIMPLE ASSAULT"	"BUSHROD ISLAND"	"FAITH COMMUNITY"	"10/3/2017"	"06:00 AM - 09:00 AM"	"WITHDRAWN"	"COMPLETED"	7005	"2017-10-03"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	10
"NIL"	"NIL"	"PROPERTY THEFT"	"BUSHROD ISLAND"	"DUALA COMMUNITY"	"10/20/2017"	"03:00 PM - 06:00 PM"	"PENDING"	"COMPLETED"	1014	"2017-10-20"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	10
"NIL"	"NIL"	"BURGLARY"	"CENTRAL MONROVIA"	"UN DRIVE COMMUNITY"	"10/15/2017"	"03:00 AM - 06:00 AM"	"PENDING"	"COMPLETED"	2001	"2017-10-15"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	10
"NIL"	"NIL"	"BURGLARY"	"CENTRAL MONROVIA"	"UN DRIVE COMMUNITY"	"10/13/2017"	"12:00 PM - 03:00 PM"	"COURT"	"COMPLETED"	2001	"2017-10-13"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	10
"NIL"	"NIL"	"BURGLARY"	"PAYNESVILLE"	"THINKER VILLAGE COMMUNITY"	"10/16/2017"	"09:00 AM - 12:00 PM"	"COURT"	"COMPLETED"	8013	"2017-10-16"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	10
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"72ND COMMUNITY"	"9/27/2017"	"09:00 AM - 12:00 PM"	"WITHDRAWN"	"COMPLETED"	9012	"2017-09-27"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
"NIL"	"NIL"	"PERSISTENT NON SUPPORT"	"PAYNESVILLE"	"72ND COMMUNITY"	"10/2/2017"	"12:00 PM - 03:00 PM"	"PENDING"	"COMPLETED"	9012	"2017-10-02"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	10
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"CHICKEN FARM COMMUNITY"	"10/5/2017"	"12:00 PM - 03:00 PM"	"PENDING"	"COMPLETED"	9006	"2017-10-05"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	10
"NIL"	"NIL"	"MISAPPLICATION OF ENTRUSTED PROPERTY"	"PAYNESVILLE"	"72ND COMMUNITY"	"10/6/2017"	"09:00 AM - 12:00 PM"	"WITHDRAWN"	"COMPLETED"	9012	"2017-10-06"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	10
"NIL"	"NIL"	"PROPERTY THEFT"	"PAYNESVILLE"	"PEACE ISLAND COMMUNITY"	"10/7/2017"	"03:00 PM - 06:00 PM"	"COURT"	"COMPLETED"	9029	"2017-10-07"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	10
"NIL"	"NIL"	"SIMPLE ASSAULT"	"PAYNESVILLE"	"72ND COMMUNITY"	"10/11/2017"	"12:00 PM - 03:00 PM"	"WITHDRAWN"	"COMPLETED"	9012	"2017-10-11"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	10
"NIL"	"NIL"	"DISORDERLY CONDUCT"	"PAYNESVILLE"	"72ND COMMUNITY"	"10/18/2017"	"06:00 AM - 09:00 AM"	"WITHDRAWN"	"COMPLETED"	9012	"2017-10-18"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	10
"NIL"	"NIL"	"SIMPLE ASSAULT"	"PAYNESVILLE"	"72ND COMMUNITY"	"10/22/2017"	"09:00 AM - 12:00 PM"	"WITHDRAWN"	"COMPLETED"	9012	"2017-10-22"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	10
"NIL"	"NIL"	"AGGRAVATED ASSAULT"	"BUSHROD ISLAND"	"POINT FOUR COMMUNITY"	"10/14/2017"	"03:00 AM - 06:00 AM"	"COURT"	"COMPLETED"	1001	"2017-10-14"	0	0	1	0	0	0	0	0	0	0	0	0	0	2017	10
"NIL"	"NIL"	"AGGRAVATED ASSAULT"	"BUSHROD ISLAND"	"BONG MINES BRIDGE COMMUNITY"	"10/15/2017"	"03:00 AM - 06:00 AM"	"COURT"	"COMPLETED"	1002	"2017-10-15"	0	0	1	0	0	0	0	0	0	0	0	0	0	2017	10
"NIL"	"NIL"	"AGGRAVATED ASSAULT"	"BUSHROD ISLAND"	"POINT FOUR COMMUNITY"	"10/13/2017"	"09:00 PM - 00:00 AM"	"COURT"	"COMPLETED"	1001	"2017-10-13"	0	0	1	0	0	0	0	0	0	0	0	0	0	2017	10
"NIL"	"NIL"	"PROPERTY THEFT"	"BUSHROD ISLAND"	"POINT FOUR COMMUNITY"	"10/14/2017"	"03:00 PM - 06:00 PM"	"COURT"	"COMPLETED"	1001	"2017-10-14"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	10
"NIL"	"NIL"	"PROPERTY THEFT"	"BUSHROD ISLAND"	"BONG MINES BRIDGE COMMUNITY"	"10/7/2017"	"NIL"	"COURT"	"COMPLETED"	1002	"2017-10-07"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	10
"NIL"	"NIL"	"ROBBERY"	"BUSHROD ISLAND"	"POINT FOUR COMMUNITY"	"10/20/2017"	"06:00 AM - 09:00 AM"	"PENDING"	"COMPLETED"	1001	"2017-10-20"	0	1	0	0	0	0	0	0	0	0	0	0	0	2017	10
"NIL"	"NIL"	"CRIMINAL MISCHIEF"	"BUSHROD ISLAND"	"DUALA COMMUNITY"	"10/3/2017"	"12:00 PM - 03:00 PM"	"WITHDRAWN"	"COMPLETED"	1014	"2017-10-03"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	10
"NIL"	"NIL"	"SIMPLE ASSAULT"	"BUSHROD ISLAND"	"DUALA COMMUNITY"	"10/4/2017"	"09:00 AM - 12:00 PM"	"WITHDRAWN"	"COMPLETED"	1014	"2017-10-04"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	10
"NIL"	"NIL"	"PERSISTENT NON SUPPORT"	"BUSHROD ISLAND"	"DUALA COMMUNITY"	"10/5/2017"	"03:00 PM - 06:00 PM"	"COURT"	"COMPLETED"	1014	"2017-10-05"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	10
"NIL"	"NIL"	"PROPERTY THEFT"	"SINKOR"	"GAYE TOWN COMMUNITY"	"10/4/2017"	"12:00 PM - 03:00 PM"	"WITHDRAWN"	"COMPLETED"	3012	"2017-10-04"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	10
"NIL"	"NIL"	"PROPERTY THEFT"	"CONGO TOWN"	"PEACE ISLAND COMMUNITY"	"10/8/2017"	"06:00 AM - 09:00 AM"	"WITHDRAWN"	"COMPLETED"	3000	"2017-10-08"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	10
"NIL"	"NIL"	"PROPERTY THEFT"	"CONGO TOWN"	"PEACE ISLAND COMMUNITY"	"10/15/2017"	"06:00 AM - 09:00 AM"	"PENDING"	"COMPLETED"	3000	"2017-10-15"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	10
"NIL"	"NIL"	"SIMPLE ASSAULT"	"SINKOR"	"GAYE TOWN COMMUNITY"	"9/20/2017"	"06:00 AM - 09:00 AM"	"WITHDRAWN"	"COMPLETED"	3012	"2017-09-20"	0	0	0	1	0	0	0	0	0	0	0	0	0	2017	9
"NIL"	"NIL"	"CRIMINAL FACILITATION"	"SINKOR"	"KAILONDO COMMUNITY"	"9/20/2017"	"12:00 PM - 03:00 PM"	"WITHDRAWN"	"COMPLETED"	3016	"2017-09-20"	0	0	0	0	0	0	0	0	0	0	0	0	1	2017	9
